Speaker,Workshop,Date,Time
Stephan Hoyer,https://ai4sciencecommunity.github.io/neurips25,2025-12-07,Not sure
Rose Yu,https://ai4sciencecommunity.github.io/neurips25,2025-12-07,Not sure

Pratyush Tiwary,https://fpineurips.framer.website/,2025-12-07,8:10–8:45
Rianne Van den Berg,https://fpineurips.framer.website/,2025-12-07,9:35–10:05
Daniel Hackett,https://fpineurips.framer.website/,2025-12-07,10:05–10:40
Gavin Crooks,https://fpineurips.framer.website/,2025-12-07,12:15–13:15
Karsten Kreis,https://fpineurips.framer.website/,2025-12-07,13:50–14:20

Esin Durmus,https://sites.google.com/view/llm-eval-workshop?pli=1,2025-12-07,Not sure
Isabela Albuquerque,https://sites.google.com/view/llm-eval-workshop?pli=1,2025-12-07,Not sure
Jason Wei,https://sites.google.com/view/llm-eval-workshop?pli=1,2025-12-07,Not sure
Minjoon Seo,https://sites.google.com/view/llm-eval-workshop?pli=1,2025-12-07,Not sure
Nathan Lambert,https://sites.google.com/view/llm-eval-workshop?pli=1,2025-12-07,Not sure
Orhan Firat,https://sites.google.com/view/llm-eval-workshop?pli=1,2025-12-07,Not sure
Sanmi Koyejo,https://sites.google.com/view/llm-eval-workshop?pli=1,2025-12-07,Not sure
Xuechen Li,https://sites.google.com/view/llm-eval-workshop?pli=1,2025-12-07,Not sure

Philip S. Yu,https://hyperboliclearning.github.io/events/neurips2025negelworkshop,2025-12-07,9:00–9:50
Pascal Mettes,https://hyperboliclearning.github.io/events/neurips2025negelworkshop,2025-12-07,9:50–10:40
Min Zhou,https://hyperboliclearning.github.io/events/neurips2025negelworkshop,2025-12-07,10:40–11:30
Smita Krishnaswamy,https://hyperboliclearning.github.io/events/neurips2025negelworkshop,2025-12-07,13:30–14:20
Bo Xiong,https://hyperboliclearning.github.io/events/neurips2025negelworkshop,2025-12-07,14:20–15:10
Lucas Vinh Tran,https://hyperboliclearning.github.io/events/neurips2025negelworkshop,2025-12-07,15:10–16:00

Jure Leskovec,https://newgraphperspectives.com/,2025-12-07,Not sure
Yusu Wang,https://newgraphperspectives.com/,2025-12-07,Not sure
Bryan Perozzi,https://newgraphperspectives.com/,2025-12-07,Not sure
Nina Miolane,https://newgraphperspectives.com/,2025-12-07,Not sure
Mathias Niepert,https://newgraphperspectives.com/,2025-12-07,Not sure

Yoshua Bengio,https://regulatableml.github.io/,2025-12-07,Not sure
Yarin Gal,https://regulatableml.github.io/,2025-12-07,Not sure
Dan Hendrycks,https://regulatableml.github.io/,2025-12-07,Not sure
